price,title,location,lat,lng,Referencia,Clasificación,Baños,Conservación,Superficie construida,Habitaciones
269000.0,Apartamento en venta en Salamanca,"Fuente del Berro, Salamanca (Madrid Capital)",40.4227491,-3.6663647, SA1334-C02871/5042,  Disponible, 1,, 79 m²,
229000.0,Apartamento en venta en Argüelles,"Gaztambide, Chamberí (Madrid Capital)",40.4319184,-3.7127768, SA4317-3-119/9260,  Disponible, 1,, 40 m², 1
229000.0,Apartamento en venta en Chamberi,"Gaztambide, Chamberí (Madrid Capital)",40.4322083,-3.712748, IF77045-I-00XDTA-W-02T0W8,  En trámite, 1, En buen estado, 37 m², 1
700000.0,Apartamento en venta en Gaztambide,"Gaztambide, Chamberí (Madrid Capital)",40.4365792,-3.7054145, DA3-MAD44578,  En trámite, 2,, 87 m², 3
787000.0,Apartamento en venta en Golf-El Carralero,Golf-El Carralero (Majadahonda),40.460898,-3.8750795, DA16-RZS43368,  En trámite, 2,, 140 m², 4
340000.0,Apartamento en venta en Majadahonda / Golf - El Carralero,Golf-El Carralero (Majadahonda),40.4470602,-3.8759654, SA4094-IDE1040825,  Disponible, 1, En buen estado, 68 m², 2
1250000.0,Apartamento en venta en Calle de Espartinas,"Calle de Espartinas. Goya, Salamanca (Madrid Capital)",40.4241558,-3.6789571, SA88-DS-P22546,  Disponible, 3, A estrenar, 104 m², 3
899000.0,"Apartamento en venta en Calle de Alcalá, cerca de Calle de Ayala","Calle de Alcalá, cerca de Calle de Ayala. Goya, Salamanca (Madrid Capital)",40.427077738,-3.670782979, SA88-DS-P22541,  Disponible, 3, A estrenar, 96 m², 2
500000.0,"Apartamento en venta en Calle de Ayala, 104, cerca de Calle de Montesa","Calle de Ayala, 104, cerca de Calle de Montesa. Goya, Salamanca (Madrid Capital)",40.427117,-3.672413, EP805-1286,  En trámite, 1,, 85 m², 2
350000.0,"Apartamento en venta en Calle de Alcalá, cerca de Calle Jorge Juan","Calle de Alcalá, cerca de Calle Jorge Juan. Goya, Salamanca (Madrid Capital)",40.4238153,-3.6783486, SA1180-12056/5458,  No indicado, 1,, 55 m², 1
640000.0,Apartamento en venta en Goya,"Goya, Salamanca (Madrid Capital)",40.4231428,-3.6730488, DA3-MAD42757,  En trámite, 2,, 87 m², 3
775000.0,Apartamento en venta en Goya,"Goya, Salamanca (Madrid Capital)",40.4233849,-3.6734802, DA3-MAD43723,  En trámite, 2,, 87 m², 2
810000.0,Apartamento en venta en Goya,"Goya, Salamanca (Madrid Capital)",40.4243194,-3.6774126, DA3-MAD45073,  En trámite, 2,, 74 m², 2
